node_id_panama_papers	contratos_razon_social
1	10051770,1014871	comercial internacional de equipos y maquinaria s.a.s.- navitrans s.a.s.|navitrans s.a.s.|comercial internacional de equipos y maquinaria s.a.s. ¿ navitrans s.a.s|comercial de equipos y maquinaria  s.a.s navitrans s.a.s|navitrans|navitrans s.a.s|comercial internacional de equipos y maquinaria s.a. ¿navitrans s.a¿|comercial internacional de equipos y maquinarias s.a.s. navitrans s.a.s.|navitrans s.a|comercial internacional de equipos y maquinaria s.a. ¿navitrans s.a.|comercial internacional de equipos y maquinaria s.a.s (navitrans s.a.s)|comercial internacional de equipos y maquinaria s.a.s navitrans s.a.s|comercial internacional de equipos y maquinarias sas - navitrans sas|comercial internacional de equipos s.a.s navitrans|comercial internacional de equipos y maquinaria s.a.s. navitrans s.a.d|comercial internacional de equipos y maquinaria s.a.s - navitrans s.a.s|navitrans.|comercial internacional de equipos y maquinaria -navitrans s.a.s|comercial internacional de equipos y aquinaria s.a.s. ¿navitrans s.a.s¿ ¿ agencia dosquebradas|comercial internacional de equipos y maquinaria s.a.s.-navitrans s.a.s.|comercializadora internacional de equipos y maquinaria s.a.s navitrans s.a.s, representada legal men|comercial internacional de equipos y maquinaria s.a. ¿ navitrans s.a.|navitrans sas|comercial internacional de equipos y maquinarias s.a.s  ¿navitrans s.a.s¿|comercial internacional de equipos y maquinaria s.a.s -navitrans|navitrans s.a.|navitrans - sucursal bogotá|comercial internacional de equipos y maquinaria navitrans s.a.|comercial internacional de equipos y maquinaria s.a.s ¿ navitrans s.a.s|comercial internacional de equipos y maquinaria navitrans s.a.s|comercial internacional de equipos y maquinaria ¿ navitrans s.a.s|comercial internacional de equipos y maquinarias s.a.s - navitrans s.a.s|comercial internacional de equipos y maquinaria s.a. - navitrans s.a|comercial internacional de equipos y maquinaria s.a.s -navitrans s.a.s|comercial internacional de equipos y maquinaria s.a navitrans|comercial internacional de equipos y maquinas  ¿navitrans s.a.s.¿|comercializadora internacional de equipos y maquinas s.a.s (navitrans)|comercial internacional de equipos y maquinaria s.a.s - navitrans s.a.s.|comercial internacional de equipos y maquinaria s.a.s.navitrans s.a.s|proponente comercial internacional de equipos y maquinaria s.a.s. ¿ navitrans s.a.s.|comercial internacional de equipos y maquinaria s.a.s - navitrans sas|navitrans s.as|comercial internacional  de equipos y maquinaria s.a.s ( navitrans )|navitrans sa|comercial internacional de equipos  y maquinaria s.a.s navitrans|comercial  internacional de equipos y maquinaria sigla navitrans s.a.s,|comercial internacional de equipos y maquinaria s.a.s. / navitrans s.a.s.|navitrans internacional s.a|comercial internacional de equipos y maquinaria s.a.s. -navitrans s.a.s.|comercial internacional de equipos y maquinaria s.a.s  ¿navitrans s.a.s¿|navitrans s.a.s. - agencia pasto|comercial internacional de equipos y maquinaria s.a.s. ¿ navitrans s.a.s.|comercial internacional de equipos y maquinaria s.a.s - navitrans|navitrans sas,|navitrans s.a,|unión temporal navitrans s. a. ¿ panamerican security de colombia ltd|comercial internacional de equipos y maquinarias s.a.s. - navitrans s.a.s|comercial internacional de equipos y maquinaria s.a.s navitrans|comercial internacional de equipos y maquinarias  s.a.s - navitrans s.a.s. agencia pasto|comercial internacional de equipos y maquinaria s.a.s ¿navitrans s.a.s¿|navitrans y/o carlos alfonso romero zarama|navitrans s.a. representante legal. andres duque pelaez|comercial internacional de equipos y maquinaria s.a.s. navitrans s.a.s|comercial internacional de equipos y maquinaria s.a.s ¿ agencia navitrans|navitrans - sas|comercial internacional de equipos y maquinarias. navitrans s.a.s,|navitrans  s.a.|comercial  internacional  de  equipos y maquinaria s.a.s navitrans s.a.s|comercial internacional  de equipos  y maquinaria - navitrans s.a.s.|navitrans s.a.  - sucursal bogota|comercializadora internacional de equipos y maquinaria  navitrans|comercial internacional de equipos y maquinaria s. a. ¿ navitrans s. a.|agencia navitrans sa|comercial internacional de equipos y maquinaria navitrans s.a|comercial internacional de equipos y maquinaria s. a. s. - navitrans s. a. s.|comercial internacional de equipos y maquinaria s.a.s. - navitrans s.a.s.|comercial internacional de equipos y maquinaria s.a. -navitrans s.a.|navitrans y/o luis javier cardona|comercial  internacional de equipos y maquinaria s.a. -navitrans s.a.|comercial internacional de equipos y maquinaria s.a.  ¿navitrans s.a.-|comercial internacional de equipos y maquinaria s.a. ¿ navitrans|navitrans s a s|comercial internacional de equipos y maquinaria s.a. ¿ navitrans s.a|navitrans internacional s.a.|comercial internacional de equipos y maquinaria s.a. navitrans s.a|comercial internacional de equipos y maquinaria s a s - navitrans s a s|comercial internacional de equipos y maquinarias s.a.s / navitrans|comercial internacional de equipos y maquinaria ¿navitrans s.a¿.,|comercial internacional de equipos y maquinaria s.a. navitrans s.a.|comercial internacional de equipos y maquinaria sas  - navitrans  s.a.s|comercial internacional de equipos y maquinaria s.a. navitrans|comercial internacional de equipos y maquinaria s.a.s. - navitrans sas|empresa comercial internacional de equipos y maquinaria s.a. ¿navitrans s.a.¿|comercial internacional de equipos y maquinaria s.a ¿ navitrans¿|comercial internacional de equipos y maquinaria s.a.s. - navitrans  s.a.s|comercial internacional de equipos y maquinaria s.a. navitrans international s.a|comercial internacional de equipos y maquinarias s.a.s., navitrans s.a.s|navitrans s.a.  y/o jose luis gomez escobar|comercial internacional de equipos & maquinaria ¿ navitrans s.a.s.|comercial internacional de equipos y maquinaria s.a. - navitrans s.a.|comercial internacional de equipos y maquinaria s.a.s. navitrans s.a.s.|comercial internacional de equipos y maquinaria - navitrans s.a|comercial internacional de equipos y maquinaria  ¿navitrans s.a.s.¿|comercial internacional de equipos y maquinas s.a.s navitrans sas|comercializadora internacional de equipos y maquinaria navitrans|comercial internacional de equipos y maquinaria s.a.s. (navitrans s.a.s.)|navitrans sa.|comercial internacional de equipos  y maquinaria sas navitrans sas|comercial internacional de equipos y maquinaria  s.a.s  - navitrans s.a.s|comercial internacional de equipos y maquinaria s.a., navitrans s.a.|comercial internacional de equipos y maquinaria s.a.s. navitrans s.a.s. sucursal bogota|comercial  internacional de equipos y maquinaria s.a.s.  navitrans  s.a.s.|comercial internacional de equipos y maquinaria navitrans s.a.s.|navitrans s. a|comercial internacional de equipos y maquinaria s.a.s. navitrans s.a.s. sucursal bogota d.c.|comercial internacional de equipos y maquinaria s.a.s ¿ navitrans|navitrans s.a.y/o andres duque pelaez|comercial  internacional de equipos y maquinaria s.a.s. ¿ navitrans  s.a.s.|comercial internacional de equipos y maquinarias navitrans s.a.s.|navitrans s,a.|comercial internacional de equipos y maquinarias s.a. ¿navitrans s.a|comercial internacional de equipos y maquinaria s.a.s. ¿navitrans s.a.s.¿,|comercial internacional de equipos y maquinarias sas - navitrans s.a.s.|comercial  internacional  de equipos  y maquinaria  s.a.  ¿navitrans¿|comercial internacional de equipos y maquinaria sas navitrans sas|comercial internacional de equipos y maquinaria s.a. ?navitrans?|comercial internaional de equipos y maquinarias s.a navitrans s.a|comercial   internacional de equipos y maquinaria  s.a.s   navitrans|comercial internacional de equipos y maquinarias s.a.s. ¿ navitrans s.a.s.|comercial internacional de equipos y maquinaria s.a.s. ¿navitrans s.a.s¿ ¿ agencia dosquebradas|consorcio eurotrans y navitrans panel|comercial internacional de equipos y maquinarias s.a navitrans s.a.s|comercial internacional de equipos y maquinaria s.a.s navitrans.|comercial internacional de equipos y maquinaria s.a.s-navitrans s.a.s.|comercial internacional de equipo y maquinaria s.a.s navitrans|comercial internacional de equipos y maquinaria - navitrans s.a.s|comercial internacional de equipos y maquinaria sas navitrans|comercial internacional de equipos y maquinarias s.a.s. - navitrans s.a.s.|comercial  internacional de equipos y maquinaria s.a. ¿ navitrans s.a.|comercializadora internacional de equipos y maquinaria ¿ navitrans s.a.s.|navitrans sas.|comercial internacional de equipos y maquinaria s.a. navitrans internacional s.a.|comercial internacional de equipos y maquinaria s.a.s. ¿ navitrans s.a.s. sucursal bogota|comercial internacional de equipos y maquinaria s.a. ¿navitrans s.a.¿|comercial internacional de equipos y maquinaria s. a. ¿ navitrans s. a.-|comercial  international  de  equipos  y  maquinaria  navitrans  s.a.|comercial internacional de equipos y maqunarias sas navitrans
2	10053876	velez lab|velez lab s..a|velez lab s.a.s.|velez lab y cia s.a.|velez lab s.a.s|velez lab  s.a.s.|velez lab y cia s. a.|velez lab y cia ltda|velez lab sas
3	10134708	cano jimenez estudios s.a.
4	10161652	bbb equipos s.a.|almacen las 3bbb|bbb. equipos s.a|las 3 bbb|bbb equipos s.a
5	10162090	edicciones gamma s.a.
6	10163683,1016369	disico s.a.|u.t links s.a.- disico s.a.|disico s.a|union temporal disico-tch 2011|consorcio cyg - disico - proing ipiales|union temporal asic s.a. ¿ disico s.a.|unión temporal disico-proing-gyg|unión temporal disico ¿ proing 2008|union temporal disico s.a - dec ingenieria ltda|consorcio cyg - disico - proing giron|disico sa|union temporal disico - comsa - gyc|la sociedad disico s.a|union temporal disico tch 2012
7	10166118	choucair cardenas testing s.a
8	10170683	transportes calderon s.a.|transportes calderon sa.|transportes calderon|transportes calderon sa|transportes calderon s.a
9	10208688	fundacion caminos del futuro
10	10211803	impulsores internacionales sas|rx s.a. y impulsores internacionales ltda|impulsores internacionales s.a.s.|impulsores internacionales s.a.s|impulsores internacionales ltda.|impulsores internacionales ltda
